date,time,,comments,slide
5/24/2016,8:20 AM,PTR Chores,email; calendar,
5/24/2016,8:35 AM,GENIE Fly Work,flip parents,
5/24/2016,9:00 AM,Reiser Lab The Box,sort,
5/24/2016,10:00 AM,PTR Chores,TM6 training,
5/24/2016,10:10 AM,RS - PostProcess,verify orientation of brains,20160324_100_RS
5/24/2016,10:15 AM,RS - PostProcess,verify orientation of brains,20160324_101_RS
5/24/2016,10:20 AM,RS - PostProcess,verify orientation of brains,20160331_100_RS
5/24/2016,10:27 AM,XZ - PostProcess,verify interpolation parameters for 4/26/16 images,20160408_100_XZ
5/24/2016,11:05 AM,LS - PostProcess,check tmog,20160904_100_LS
5/24/2016,11:15 AM,XZ - PostProcess,verify interpolation parameters for 4/26/16 images,20160408_101_XZ
5/24/2016,11:35 AM,RS - PostProcess,verify orientation of VNCs,20160324_100_RS
5/24/2016,11:40 AM,RS - PostProcess,verify orientation of VNCs,20160324_101_RS
5/24/2016,11:45 AM,RS - PostProcess,verify orientation of VNCs,20160331_100_RS
5/24/2016,11:50 AM,Reiser Lab The Box,analysis,
5/24/2016,12:15 PM,lunch,,
5/24/2016,12:45 PM,Reiser Lab The Box,analysis,
5/24/2016,2:00 PM,Group Meetings,GI; KC; Kelly,
5/24/2016,2:28 PM,GI Meetings,Yi; PTR-IHC smartsheet,
5/24/2016,2:40 PM,Reiser Lab The Box,protocol 5.35-34,
5/24/2016,5:10 PM,YS - Setup,,20160524_YS
5/24/2016,5:49 PM,depart,,
5/25/2016,8:40 AM,PTR Chores,email; calendar,
5/25/2016,9:10 AM,GENIE Fly Work,flip parents; flip stocks; clear vials for virgins,
5/25/2016,9:45 AM,PTR Chores,TM6 training,
5/25/2016,10:00 AM,GENIE Fly Work,update calendar,
5/25/2016,10:15 AM,PTR Chores,PTR-IHC Smartsheet,20160506_100_20X_JC
5/25/2016,10:27 AM,PTR Chores,PTR-IHC Smartsheet,20160506_100_63X_1_JC
5/25/2016,10:39 AM,PTR Chores,PTR-IHC Smartsheet,20160506_100_63X_2_JC
5/25/2016,10:50 AM,PTR Chores,PTR-IHC Smartsheet,20160408_100_XZ
5/25/2016,11:10 AM,PTR Chores,PTR-IHC Smartsheet,20160408_101_XZ
5/25/2016,11:30 AM,PTR Chores,PTR-IHC Smartsheet,20160324_100_RS
5/25/2016,11:50 AM,PTR Chores,PTR-IHC Smartsheet,20160324_101_RS
5/25/2016,12:05 PM,lunch,,
5/25/2016,12:35 PM,Reiser Lab The Box,test protocol & update documentation,
5/25/2016,1:30 PM,PTR Chores,PTR-IHC Smartsheet,20160331_100_RS
5/25/2016,1:40 PM,JC - PostProcess,sorting out various runs; tying up loose ends,20160506_100_JC
5/25/2016,3:20 PM,XZ - PostProcess,sorting out various runs; tying up loose ends,20160408_100_XZ
5/25/2016,3:55 PM,XZ - PostProcess,sorting out various runs; tying up loose ends,20160408_101_XZ
5/25/2016,4:30 PM,GENIE Fly Work,virgins,
5/25/2016,4:39 PM,PTR Chores,chargebacks,
5/25/2016,5:01 PM,depart,,
5/26/2016,9:45 AM,PTR Chores,email; calendar,
5/26/2016,10:20 AM,GENIE Fly Work,paper wedges; labels; virgins; parents; DoBs,
5/26/2016,10:55 AM,Reiser Lab The Box,clear parents,
5/26/2016,11:05 AM,LS - PostProcess,check WS for images,20160904_100_LS
5/26/2016,11:15 AM,GI Meetings,documenting confocal times & issues,
5/26/2016,11:30 AM,lunch,,
5/26/2016,12:00 PM,Reiser Lab The Box,start experiment,
5/26/2016,2:30 PM,RS - PostProcess,reviewing charges,
5/26/2016,4:11 PM,GENIE Fly Work,virgins; DoBs,
5/26/2016,4:30 PM,PTR Chores,TM6 training,
5/26/2016,4:50 PM,PTR Chores,daily log,
5/26/2016,5:00 PM,depart,,
5/27/2016,8:50 AM,PTR Chores,email; calendar,
5/27/2016,9:00 AM,Other Imaging,check drive space available: HD;dm11;tier2,
5/27/2016,9:02 AM,GENIE Fly Work,virgins;parents,
5/27/2016,9:39 AM,PTR Chores,TM6 training,
5/27/2016,10:06 AM,Reiser Lab The Box,copy analysis to tier2,
5/27/2016,10:23 AM,LS - PostProcess,tmog - chk workstation for images tmogged on 5/2/16,20160904_100_LS
5/27/2016,10:40 AM,LS - PostProcess,tmog - chk workstation for images tmogged on 5/2/16,20160914_100_LS
5/27/2016,11:10 AM,Reiser Lab The Box,analysis - track movies; avi extract,
5/27/2016,11:12 AM,LS - PostProcess,tmog - chk workstation for images tmogged on 5/2/16,20160904_100_LS
5/27/2016,11:22 AM,LS - PostProcess,tmog - chk workstation for images tmogged on 5/2/16,20160914_100_LS
5/27/2016,11:33 AM,Reiser Lab The Box,analysis - avi to sbfmf conversion,
5/27/2016,11:34 AM,lunch,,
5/27/2016,12:04 PM,PTR Chores,human resources contact re: update personal info,
5/27/2016,12:26 PM,Reiser Lab The Box,analysis - fotrak,
5/27/2016,12:30 PM,YS - PostProcess,problems with tier2 access,20160524_YS
5/27/2016,12:48 PM,YS - PostProcess,create possible slide map format,20160524_YS
5/27/2016,1:40 PM,Reiser Lab The Box,analysis - fotrak queue is jammed,
5/27/2016,2:00 PM,GI Meetings,Reiser update; imaging naming for Yi,
5/27/2016,2:43 PM,Group Meetings,GI & Kari - Yi; Rai; Kristin; Stephen; Xiaoliang,
5/27/2016,4:30 PM,GENIE Fly Work,crosses,
5/27/2016,5:00 PM,depart,,
5/30/2016,8:30 AM,Holiday,Memorial Day,
5/30/2016,4:30 PM,depart,,
5/31/2016,8:40 AM,PTR Chores,email; calendar,
5/31/2016,8:50 AM,Reiser Lab The Box,analysis - back out completely & restart,
5/31/2016,9:30 AM,GI Meetings,WS - LS; smartsheet,
5/31/2016,9:36 AM,Reiser Lab The Box,analysis - complete box-analysis,
5/31/2016,10:00 AM,GENIE Fly Work,parents,
5/31/2016,10:15 AM,Reiser Lab The Box,sort,
5/31/2016,11:00 AM,GI Meetings,check DoBs,
5/31/2016,11:10 AM,Reiser Lab The Box,sort,
5/31/2016,11:20 AM,GENIE Fly Work,clear DoBs,
5/31/2016,11:30 AM,lunch,,
5/31/2016,12:00 PM,YS - Setup,,20160531_YS
5/31/2016,1:30 PM,YS - PostProcess,QC,20160531_YS
5/31/2016,2:00 PM,KK - Setup,prep,20160527_100_KK
5/31/2016,2:20 PM,Other Imaging,modify slide map collection for generating names,
5/31/2016,3:00 PM,KK - Setup,confocal,20160527_100_KK
5/31/2016,6:00 PM,lunch,chiropractor,
5/31/2016,7:00 PM,GENIE Fly Work,dobs,
5/31/2016,7:20 PM,depart,,
6/1/2016,9:20 AM,PTR Chores,email; calendar,
6/1/2016,9:30 AM,GENIE Fly Work,virgins; parents; dobs,
6/1/2016,10:10 AM,PTR Chores,TM6 training,
6/1/2016,10:37 AM,JS - PostProcess,copy to HD,20160421_100_JS
6/1/2016,10:50 AM,YS - PostProcess,update confocal tables,20160509_YS
6/1/2016,10:55 AM,YS - PostProcess,update confocal tables,20160524_YS
6/1/2016,11:00 AM,YS - PostProcess,update confocal tables,20160531_YS
6/1/2016,11:05 AM,YS - PostProcess,copy to HD; public,20160531_YS
6/1/2016,11:16 AM,KK - Post Process,copy to PTR; Public; HD,20160527_100_KK
6/1/2016,11:25 AM,GI Meetings,Yi slide maps,20160531_YS
6/1/2016,11:40 AM,lunch,,
6/1/2016,12:50 PM,Other Imaging,update confocal tables,
6/1/2016,2:35 PM,Other Imaging,update PTR-IHC smartsheet,
6/1/2016,2:48 PM,PTR Chores,chargebacks - update daily log,
6/1/2016,3:11 PM,Other Imaging,update PTR-IHC smartsheet,
6/1/2016,3:47 PM,Reiser Lab The Box,comparison summary,
6/1/2016,5:05 PM,depart,,
6/2/2016,9:00 AM,STO,,
6/2/2016,5:00 PM,depart,,
6/3/2016,9:00 AM,STO,,
6/3/2016,5:00 PM,depart,,
6/6/2016,9:00 AM,STO,,
6/6/2016,5:00 PM,depart,,
6/7/2016,9:00 AM,STO,,
6/7/2016,5:00 PM,depart,,
6/8/2016,9:00 AM,STO,,
6/8/2016,5:00 PM,depart,,
6/9/2016,9:00 AM,STO,,
6/9/2016,5:00 PM,depart,,
6/10/2016,8:00 AM,PTR Chores,email; calendar,
6/10/2016,9:35 AM,Reiser Lab The Box,comparison summary,
6/10/2016,11:00 AM,GI Meetings,880 imaging for Kristina,
6/10/2016,11:15 AM,KK - Setup,map coords,20160602_100_KK
6/10/2016,11:30 AM,lunch,,
6/10/2016,12:30 PM,Reiser Lab The Box,comparison summary,
6/10/2016,1:00 PM,GI Meetings,confocal: SH; RS; YS,
6/10/2016,2:00 PM,classes and training,880 AiryScan w/ Aaron,
6/10/2016,3:00 PM,KK - Setup,confocal,20160602_100_KK
6/10/2016,5:15 PM,GENIE Fly Work,crosses,
6/10/2016,5:45 PM,YS - PostProcess,copy,20160603_100_YS
6/10/2016,5:50 PM,KK - Post Process,,20160602_100_KK
6/10/2016,5:55 PM,depart,,
6/13/2016,8:55 AM,PTR Chores,email; calendar,
6/13/2016,9:05 AM,GENIE Fly Work,flip parents,
6/13/2016,9:20 AM,PTR Chores,TM6 training,
6/13/2016,11:45 AM,lunch,,
6/13/2016,12:15 PM,Reiser Lab The Box,box-analysis - redo prot536 analysis,
6/13/2016,1:00 PM,Group Meetings,team,
6/13/2016,1:45 PM,Reiser Lab The Box,crosses,
6/13/2016,2:45 PM,SH  - Setup,coord map,20160527_101_SH
6/13/2016,3:00 PM,SH  - Setup,confocal,20160527_101_SH
6/13/2016,5:50 PM,depart,,
6/14/2016,8:00 AM,SH  - PostProcess,copy; zen error; stopped after 22 lsms,20160527_101_SH
6/14/2016,9:00 AM,PTR Chores,email; calendar,
6/14/2016,9:05 AM,RS - Setup,coord map,20160518_100_RS
6/14/2016,9:50 AM,GENIE Fly Work,flip parents,
6/14/2016,10:05 AM,PTR Chores,TM6 training,
6/14/2016,10:20 AM,RS - PostProcess,recount negatives,20160324_100_RS
6/14/2016,10:45 AM,LS - PostProcess,tmog - ask Todd to redo D3,20150904_100_LS
6/14/2016,11:00 AM,GI Meetings,Workstation - LS,
6/14/2016,11:05 AM,LS - PostProcess,verify all images are on workstation,20150904_100_LS
6/14/2016,11:20 AM,Reiser Lab The Box,comparison summary,
6/14/2016,11:30 AM,lunch,,
6/14/2016,12:00 PM,Reiser Lab The Box,comparison summary,
6/14/2016,1:40 PM,lunch,,
6/14/2016,2:40 PM,Reiser Lab The Box,comparison summary,
6/14/2016,3:00 PM,SH  - PostProcess,copy MIPs & slidemap to Public,20160527_101_SH
6/14/2016,3:10 PM,RS - Setup,confocal,20160518_100_RS
6/14/2016,5:41 PM,depart,,
6/15/2016,8:00 AM,KK - PostProcess,HD; Confocal Tbls,20160602_100_KK
6/15/2016,8:15 AM,SH - PostProcess,HD; Confocal Tbls,20160527_101_SH
6/15/2016,8:30 AM,RS - PostProcess,PTR; HD; MIPs; Confocal Tbls; QC,20160518_100_RS
6/15/2016,8:45 AM,PTR Chores,email; calendar,
6/15/2016,9:00 AM,GENIE Fly Work,flip parents,
6/15/2016,9:30 AM,Other Imaging,improve time estimation on slide map collections.xlsx,
6/15/2016,9:40 AM,PTR Chores,TM6 training,
6/15/2016,10:20 AM,Other Imaging,improve margins on slide map collections.xlsx,
6/15/2016,10:50 AM,RS - PostProcess,slide map,20160518_100_RS
6/15/2016,11:15 AM,PTR Chores,misc,
6/15/2016,11:45 AM,lunch,,
6/15/2016,12:40 PM,PTR Chores,chargebacks,
6/15/2016,1:30 PM,Reiser Lab The Box,fix comparison summary titles;  move my exps to separate folder; discuss plots w/ Austin,
6/15/2016,3:23 PM,Group Meetings,PTR-IHC mtg ,
6/15/2016,4:00 PM,Other Imaging,update confocal instructions,
6/15/2016,4:30 PM,Reiser Lab The Box,sort out which experiments used which protocol,
6/15/2016,4:40 PM,GI Meetings,scheduling,
6/15/2016,5:00 PM,depart,,
6/16/2016,9:50 AM,PTR Chores,email; calendar,
6/16/2016,10:00 AM,Reiser Lab The Box,vacation planning; copy exps from 5/12 to my folder,
6/16/2016,10:10 AM,GENIE Fly Work,flip parents,
6/16/2016,10:15 AM,PTR Chores,TM6 practice,
6/16/2016,10:55 AM,GI Meetings,SH; XZ; KK; YS,
6/16/2016,11:50 AM,lunch,,
6/16/2016,12:40 PM,YS - Setup,prep & image,20160616_100_YS
6/16/2016,2:30 PM,Reiser Lab The Box,analysis for remaining experiments,
6/16/2016,5:15 PM,depart,,
6/17/2016,8:35 AM,PTR Chores,email; calendar,
6/17/2016,9:00 AM,KK - Setup,AiryScan imaging,20160527_100_KK
6/17/2016,12:05 PM,lunch,,
6/17/2016,12:35 PM,Reiser Lab The Box,create Prot536_analysis.m,
6/17/2016,1:00 PM,GI Meetings,KK; SH; XZ,
6/17/2016,2:00 PM,Reiser Lab The Box,Prot536_analysis; 20160505 experiments,
6/17/2016,4:35 PM,GI Meetings,SH,
6/17/2016,5:00 PM,depart,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
